"date","timestamp","tenant_id","org_id","unit_id","department_id","machine_id","edge_id","shift_id","batch_id","total_machine_runtime","machine_up_time","planned_production_time","machine_idle_time","actual_production_time","net_available_time","all_available_time","total_machine_downtime","total_planned_downtime","unplanned_downtime","target_parts","total_parts_produced","no_of_parts_rejected","total_production_per_batch","actual_cycletime","time_between_job_parts","parts_per_minute","availability_loss_time","cycletime_loss","capacity_utilized_percent","machine_performance_percent","machine_availability_percent","availability_loss_percent","asset_utilization_percent","planned_downtime_percent"
2023-12-04,1701651595000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2047000,2047000,3600000,8000,2055000,,,1545000,1545000,1545000,,409,,,5000.0,0,12,1553000,1000.0,45.44444444444444,79.9218368343918,56.86111111111111,43.138888888888886,57.083333333333336,0.0
2023-12-04,1701655198000,15,42,43,45,humac_mac_001,E400099,Shift_3,,2053000,2053000,3600000,2000,2055000,,,1545000,1545000,1545000,,411,,,5009.78,0,12,1547000,1009.779951100245,45.666666666666664,80.07793472966391,57.02777777777778,42.97222222222222,57.083333333333336,0.0
2023-12-04,1701658796000,15,42,43,45,humac_mac_001,E400099,First Shift,,2047000,2047000,3600000,7000,2054000,,,1546000,1546000,1546000,,410,,,5007.353,0,12,1553000,1007.3529411764703,45.55555555555556,80.1172447484123,56.86111111111111,43.138888888888886,57.05555555555556,0.0
2023-12-04,1701662395000,15,42,43,45,humac_mac_001,E400099,First Shift,,2050000,2050000,3600000,6000,2056000,,,1544000,1544000,1544000,,410,,,5012.255,0,12,1550000,1012.2549019607841,45.55555555555556,80.0,56.94444444444444,43.05555555555556,57.111111111111114,0.0
2023-12-04,1701664546000,15,42,43,45,humac_mac_001,E400099,First Shift,,2146000,2146000,3600000,0,2146000,,,1454000,1454000,1454000,,427,,,5037.5586,0,12,1454000,1037.5586854460098,47.44444444444444,79.58993476234856,59.611111111111114,40.38888888888889,59.611111138888894,0.0
2023-12-04,1701668487000,15,42,43,45,humac_mac_001,E400099,First Shift,,2396000,2396000,3600000,91000,2487000,,,1113000,1113000,1113000,,477,,,5023.1094,0,12,1204000,1023.1092436974786,53.0,79.63272120200334,66.55555555555556,33.44444444444444,69.08333336111112,0.0
2023-12-04,1701672429000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2396000,2396000,3600000,0,2396000,,,1204000,1204000,1204000,,480,,,4989.5615,0,12,1204000,989.5615866388307,53.333333333333336,80.13355592654425,66.55555555555556,33.44444444444444,66.55555558333334,0.0
2023-12-04,1701676371000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2399000,2399000,3600000,0,2399000,,,1201000,1201000,1201000,,479,,,5000.0,0,12,1201000,1000.0,53.22222222222222,79.86661108795332,66.63888888888889,33.361111111111114,66.63888891666667,0.0
2023-12-04,1701680315000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2400000,2400000,3600000,85000,2485000,,,1115000,1115000,1115000,,482,,,4979.21,0,12,1200000,979.2099792099789,53.55555555555556,80.33333333333333,66.66666666666666,33.33333333333333,69.02777777777777,0.0
2023-12-04,1701683999000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2139000,2139000,3600000,1000,2140000,,,1460000,1460000,1460000,,425,,,5033.019,0,12,1461000,1033.0188679245284,47.22222222222222,79.47639083683966,59.416666666666664,40.583333333333336,59.44444444444444,0.0
2023-12-04,1701687595000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2048000,2048000,3600000,9000,2057000,,,1543000,1543000,1543000,,407,,,5044.4443,0,12,1552000,1044.4444444444443,45.22222222222222,79.4921875,56.888888888888886,43.111111111111114,57.138888888888886,0.0
2023-12-04,1701691199000,15,42,43,45,humac_mac_001,E400099,demo shift 1,,2056000,2056000,3600000,1000,2057000,,,1543000,1543000,1543000,,411,,,5000.0,0,12,1544000,1000.0,45.666666666666664,79.96108949416343,57.111111111111114,42.888888888888886,57.138888888888886,0.0
